ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,vwa-ximeng,,Ximeng,1,mu,classifier for dog ,one dog,,,,
,vwa-ximeng,,Ximeng,2,mu,classifier for cat ,one cat,,,,
,vwa-ximeng,,Ximeng,3,mu,classifier for chicken ,one chicken ,,,,
,vwa-ximeng,,Ximeng,4,mu,classifier for pig ,one pig ,,,,
,vwa-ximeng,,Ximeng,5,mu,classifier for cow ,one cow ,,,,
,vwa-ximeng,,Ximeng,6,mu,classifier for snake ,one snake ,,,,
,vwa-ximeng,,Ximeng,7,mu,classifier for fish ,one fish ,,,,
,vwa-ximeng,,Ximeng,8,mu,classifier for hat ,one hat ,,,,
,vwa-ximeng,,Ximeng,9,blʌ,classifier for trousers ,one trousers ,,,,
,vwa-ximeng,,Ximeng,10,mu,classifier for shirt ,one shirt ,,,,
,vwa-ximeng,,Ximeng,11,mu,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,vwa-ximeng,,Ximeng,12,mu,classifier for chopstick (single) ,one chopstick (single) ,,,,
,vwa-ximeng,,Ximeng,13,mu,classifier for shoe (pair),one shoe (pair),,,,
,vwa-ximeng,,Ximeng,14,?,classifier for shoe (single),one shoe (single),,,,
,vwa-ximeng,,Ximeng,15,mu,classifier for cushion ,one cushion ,,,,
,vwa-ximeng,,Ximeng,16,mu,classifier for flower ,one flower ,,,,
,vwa-ximeng,,Ximeng,17,bʌŋ,classifier for tree ,one tree ,,,,
,vwa-ximeng,,Ximeng,18,blʌŋ,classifier for house,one house,,,,
,vwa-ximeng,,Ximeng,19,mu,classifier for table ,one table ,,,,
,vwa-ximeng,,Ximeng,20,mu,classifier for chair ,one chair ,,,,
,vwa-ximeng,,Ximeng,21,mu,classifier for pen ,one pen ,,,,
,vwa-ximeng,,Ximeng,22,mu,classifier for spoon ,one spoon ,,,,
,vwa-ximeng,,Ximeng,23,mu,classifier for noodle ,one noodle ,,,,
,vwa-ximeng,,Ximeng,24,blʌ,classifier for leaf ,one leaf ,,,,
,vwa-ximeng,,Ximeng,25,mu,classifier for room ,one room ,,,,
,vwa-ximeng,,Ximeng,26,mu,classifier for person ,one person ,,,,
,vwa-ximeng,,Ximeng,27,gə,classifier for teacher ,one teacher ,,,,
,vwa-ximeng,,Ximeng,28,mu,classifier for spider ,one spider ,,,,
,vwa-ximeng,,Ximeng,29,mu,classifier for stone ,one stone ,,,,
,vwa-ximeng,,Ximeng,30,mu,classifier for boat ,one boat ,,,,
,vwa-ximeng,,Ximeng,31,mu,classifier for banana ,one banana ,,,,
,vwa-ximeng,,Ximeng,32, mu,classifier for papaya,one papaya,,,,
,vwa-ximeng,,Ximeng,33,mu,classifier for cloud ,one cloud ,,,,
