ID,Informant_number,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase
,1,uuu_bangxie,nʌ,Bangxie,1,nʌ,to eat,eat rice
,1,uuu_bangxie,nʌ,Bangxie,2,nʌ,to eat,eat beef
,1,uuu_bangxie,nʌ,Bangxie,3,nʌ,to eat,eat fruit
,1,uuu_bangxie,nʌ,Bangxie,4,nʌ,to eat,eat vegetables
,1,uuu_bangxie,nʌ,Bangxie,5,nʌ,to eat,eat congee
,1,uuu_bangxie,nʌ,Bangxie,6,nʌ,to drink,drink soup
,1,uuu_bangxie,nʌ,Bangxie,7,nʌ,to drink,drink alcohol
,1,uuu_bangxie,nʌ,Bangxie,8,nʌ,to drink,drink tea
,1,uuu_bangxie,nʌ,Bangxie,9,nʌ,to drink,drink water
,1,wbm-xiaomenge,sɔm,Xiaomenge,1,sɔm,to eat,eat rice
,1,wbm-xiaomenge,i,Xiaomenge,2,i,to eat,eat beef
,1,wbm-xiaomenge,i,Xiaomenge,3,i,to eat,eat fruit
,1,wbm-xiaomenge,i,Xiaomenge,4,i,to eat,eat vegetables
,1,wbm-xiaomenge,i,Xiaomenge,5,i,to eat,eat congee
,1,wbm-xiaomenge,i,Xiaomenge,6,i,to drink,drink soup
,1,wbm-xiaomenge,i,Xiaomenge,7,i,to drink,drink alcohol
,1,wbm-xiaomenge,i,Xiaomenge,8,i,to drink,drink tea
,1,wbm-xiaomenge,i,Xiaomenge,9,i,to drink,drink water
,1,vwa-mangjing,tsɔm,Mangjing,1,tsɔm,to eat,eat rice
,1,vwa-mangjing,brʌ,Mangjing,2,brʌ,to eat,eat beef
,1,vwa-mangjing,brʌ,Mangjing,3,brʌ,to eat,eat fruit
,1,vwa-mangjing,brʌ,Mangjing,4,brʌ,to eat,eat vegetables
,1,vwa-mangjing,niə,Mangjing,5,niə,to eat,eat congee
,1,vwa-mangjing,niə,Mangjing,6,niə,to drink,drink soup
,1,vwa-mangjing,niə,Mangjing,7,niə,to drink,drink alcohol
,1,vwa-mangjing,niə,Mangjing,8,niə,to drink,drink tea
,1,vwa-mangjing,niə,Mangjing,9,niə,to drink,drink water
